arm,structure,feature,seed,method,nmi,ari,sep_min,sep_mean,seconds
A,0.0,0.0,0,louvain,0.0061,-0.0008,0.0,0.0,0.16
A,0.0,0.0,0,leiden,0.009,0.0022,0.0,0.0,0.08
A,0.0,0.0,0,kmeans,0.007,0.0033,0.0,0.0,0.05
A,0.0,0.0,0,dmon,0.0007,-0.0023,0.0,0.0,2.11
A,0.0,0.0,0,mincut,0.0,0.0,0.0,0.0,2.34
A,0.0,0.0,0,dmon_ref,0.0051,0.0018,0.0,0.0,2.4
A,0.0,0.0,1,louvain,0.0116,0.0024,0.0,0.0,0.12
A,0.0,0.0,1,leiden,0.003,-0.0023,0.0,0.0,0.07
A,0.0,0.0,1,kmeans,0.0012,-0.0019,0.0,0.0,0.03
A,0.0,0.0,1,dmon,0.0014,-0.0017,0.0,0.0,2.08
A,0.0,0.0,1,mincut,0.0047,0.0,0.0,0.0,2.41
A,0.0,0.0,1,dmon_ref,0.002,-0.0011,0.0,0.0,2.44
A,0.0,0.0,2,louvain,0.0087,0.0017,0.0,0.0,0.15
A,0.0,0.0,2,leiden,0.0046,-0.0013,0.0,0.0,0.08
A,0.0,0.0,2,kmeans,0.0029,-0.0003,0.0,0.0,0.03
A,0.0,0.0,2,dmon,0.0021,-0.0011,0.0,0.0,2.1
A,0.0,0.0,2,mincut,0.0036,-0.001,0.0,0.0,2.4
A,0.0,0.0,2,dmon_ref,0.005,0.0017,0.0,0.0,2.45
A,0.0,0.0,3,louvain,0.0061,-0.0013,0.0,0.0,0.18
A,0.0,0.0,3,leiden,0.0084,0.0015,0.0,0.0,0.07
A,0.0,0.0,3,kmeans,0.0065,0.003,0.0,0.0,0.03
A,0.0,0.0,3,dmon,0.0034,0.0001,0.0,0.0,2.13
A,0.0,0.0,3,mincut,0.0,0.0,0.0,0.0,2.39
A,0.0,0.0,3,dmon_ref,0.0064,0.0029,0.0,0.0,2.4
A,0.0,0.0,4,louvain,0.0067,-0.0011,0.0,0.0,0.16
A,0.0,0.0,4,leiden,0.0042,-0.0017,0.0,0.0,0.07
A,0.0,0.0,4,kmeans,0.0026,-0.0006,0.0,0.0,0.03
A,0.0,0.0,4,dmon,0.0047,0.0013,0.0,0.0,2.1
A,0.0,0.0,4,mincut,0.0,0.0,0.0,0.0,2.93
A,0.0,0.0,4,dmon_ref,0.0018,-0.0013,0.0,0.0,2.67
A,0.0,0.2,0,louvain,0.0061,-0.0008,1.1166,1.526,0.18
A,0.0,0.2,0,leiden,0.009,0.0022,1.1166,1.526,0.09
A,0.0,0.2,0,kmeans,0.0909,0.0891,1.1166,1.526,0.03
A,0.0,0.2,0,dmon,0.0217,0.0162,1.1166,1.526,2.11
A,0.0,0.2,0,mincut,0.0,0.0,1.1166,1.526,2.4
A,0.0,0.2,0,dmon_ref,0.0144,0.0104,1.1166,1.526,2.44
A,0.0,0.2,1,louvain,0.0116,0.0024,1.2883,1.5229,0.12
A,0.0,0.2,1,leiden,0.003,-0.0023,1.2883,1.5229,0.08
A,0.0,0.2,1,kmeans,0.0734,0.0616,1.2883,1.5229,0.03
A,0.0,0.2,1,dmon,0.012,0.0082,1.2883,1.5229,2.14
A,0.0,0.2,1,mincut,0.0026,0.0002,1.2883,1.5229,2.43
A,0.0,0.2,1,dmon_ref,0.0133,0.0092,1.2883,1.5229,2.45
A,0.0,0.2,2,louvain,0.0087,0.0017,1.2707,1.5133,0.16
A,0.0,0.2,2,leiden,0.0046,-0.0013,1.2707,1.5133,0.08
A,0.0,0.2,2,kmeans,0.05,0.048,1.2707,1.5133,0.03
A,0.0,0.2,2,dmon,0.0157,0.0116,1.2707,1.5133,2.16
A,0.0,0.2,2,mincut,0.0006,-0.0002,1.2707,1.5133,2.43
A,0.0,0.2,2,dmon_ref,0.0109,0.0067,1.2707,1.5133,2.4
A,0.0,0.2,3,louvain,0.0061,-0.0013,1.4657,1.7432,0.19
A,0.0,0.2,3,leiden,0.0084,0.0015,1.4657,1.7432,0.08
A,0.0,0.2,3,kmeans,0.1119,0.1077,1.4657,1.7432,0.03
A,0.0,0.2,3,dmon,0.0497,0.0443,1.4657,1.7432,2.13
A,0.0,0.2,3,mincut,0.0,-0.0,1.4657,1.7432,2.46
A,0.0,0.2,3,dmon_ref,0.0102,0.0061,1.4657,1.7432,2.42
A,0.0,0.2,4,louvain,0.0067,-0.0011,1.351,1.6336,0.17
A,0.0,0.2,4,leiden,0.0042,-0.0017,1.351,1.6336,0.07
A,0.0,0.2,4,kmeans,0.1309,0.13,1.351,1.6336,0.02
A,0.0,0.2,4,dmon,0.031,0.0264,1.351,1.6336,2.15
A,0.0,0.2,4,mincut,0.0,0.0,1.351,1.6336,2.48
A,0.0,0.2,4,dmon_ref,0.0131,0.0094,1.351,1.6336,2.42
A,0.0,0.35,0,louvain,0.0061,-0.0008,1.9541,2.6705,0.17
A,0.0,0.35,0,leiden,0.009,0.0022,1.9541,2.6705,0.08
A,0.0,0.35,0,kmeans,0.4238,0.4588,1.9541,2.6705,0.02
A,0.0,0.35,0,dmon,0.0892,0.079,1.9541,2.6705,2.14
A,0.0,0.35,0,mincut,0.0,0.0,1.9541,2.6705,2.48
A,0.0,0.35,0,dmon_ref,0.0337,0.0287,1.9541,2.6705,2.48
A,0.0,0.35,1,louvain,0.0116,0.0024,2.2545,2.6651,0.12
A,0.0,0.35,1,leiden,0.003,-0.0023,2.2545,2.6651,0.08
A,0.0,0.35,1,kmeans,0.4793,0.5221,2.2545,2.6651,0.03
A,0.0,0.35,1,dmon,0.1133,0.1134,2.2545,2.6651,2.18
A,0.0,0.35,1,mincut,0.002,0.0,2.2545,2.6651,2.49
A,0.0,0.35,1,dmon_ref,0.0215,0.0161,2.2545,2.6651,2.49
A,0.0,0.35,2,louvain,0.0087,0.0017,2.2237,2.6482,0.16
A,0.0,0.35,2,leiden,0.0046,-0.0013,2.2237,2.6482,0.08
A,0.0,0.35,2,kmeans,0.417,0.4539,2.2237,2.6482,0.03
A,0.0,0.35,2,dmon,0.0928,0.0861,2.2237,2.6482,2.11
A,0.0,0.35,2,mincut,0.0007,-0.0001,2.2237,2.6482,2.51
A,0.0,0.35,2,dmon_ref,0.045,0.0361,2.2237,2.6482,2.52
A,0.0,0.35,3,louvain,0.0061,-0.0013,2.5649,3.0506,0.19
A,0.0,0.35,3,leiden,0.0084,0.0015,2.5649,3.0506,0.08
A,0.0,0.35,3,kmeans,0.5697,0.6244,2.5649,3.0506,0.02
A,0.0,0.35,3,dmon,0.2236,0.2189,2.5649,3.0506,2.2
A,0.0,0.35,3,mincut,0.0005,-0.0,2.5649,3.0506,2.55
A,0.0,0.35,3,dmon_ref,0.0475,0.0379,2.5649,3.0506,2.49
A,0.0,0.35,4,louvain,0.0067,-0.0011,2.3643,2.8588,0.17
A,0.0,0.35,4,leiden,0.0042,-0.0017,2.3643,2.8588,0.07
A,0.0,0.35,4,kmeans,0.5033,0.5515,2.3643,2.8588,0.02
A,0.0,0.35,4,dmon,0.2108,0.2117,2.3643,2.8588,2.18
A,0.0,0.35,4,mincut,0.0,0.0,2.3643,2.8588,2.52
A,0.0,0.35,4,dmon_ref,0.0522,0.0454,2.3643,2.8588,2.52
A,0.0,0.5,0,louvain,0.0061,-0.0008,2.7916,3.815,0.18
A,0.0,0.5,0,leiden,0.009,0.0022,2.7916,3.815,0.08
A,0.0,0.5,0,kmeans,0.7088,0.7585,2.7916,3.815,0.02
A,0.0,0.5,0,dmon,0.2361,0.2249,2.7916,3.815,2.25
A,0.0,0.5,0,mincut,0.0,0.0,2.7916,3.815,2.52
A,0.0,0.5,0,dmon_ref,0.0538,0.0484,2.7916,3.815,2.54
A,0.0,0.5,1,louvain,0.0116,0.0024,3.2207,3.8073,0.12
A,0.0,0.5,1,leiden,0.003,-0.0023,3.2207,3.8073,0.08
A,0.0,0.5,1,kmeans,0.7624,0.8114,3.2207,3.8073,0.01
A,0.0,0.5,1,dmon,0.5077,0.5589,3.2207,3.8073,2.23
A,0.0,0.5,1,mincut,0.002,0.0,3.2207,3.8073,2.55
A,0.0,0.5,1,dmon_ref,0.0459,0.0343,3.2207,3.8073,2.56
