target,seed,method,nmi,ari,seconds
cora,0,dmon_ref,0.489,0.4457,5.24
cora,1,dmon_ref,0.4451,0.3609,5.65
cora,2,dmon_ref,0.444,0.3419,5.33
citeseer,0,dmon_ref,0.298,0.2684,8.37
citeseer,1,dmon_ref,0.284,0.2668,8.22
citeseer,2,dmon_ref,0.2951,0.2717,8.16
photo,0,dmon_ref,0.5751,0.4509,22.43
photo,1,dmon_ref,0.516,0.4182,22.53
photo,2,dmon_ref,0.5051,0.4227,22.52
syn_0.45_0.5,0,dmon_ref,0.9491,0.9658,2.32
syn_0.45_0.5,1,dmon_ref,0.9627,0.9761,2.34
syn_0.45_0.5,2,dmon_ref,0.9447,0.9656,2.26
syn_0.35_0.5,0,dmon_ref,0.8964,0.927,2.3
syn_0.35_0.5,1,dmon_ref,0.9102,0.9398,2.35
syn_0.35_0.5,2,dmon_ref,0.8899,0.9243,2.37
syn_0.35_0.35,0,dmon_ref,0.7219,0.7705,2.29
syn_0.35_0.35,1,dmon_ref,0.7781,0.8281,2.31
syn_0.35_0.35,2,dmon_ref,0.6887,0.7455,2.34
syn_0.55_0.2,0,dmon_ref,0.6882,0.7369,2.33
syn_0.55_0.2,1,dmon_ref,0.74,0.7981,2.32
syn_0.55_0.2,2,dmon_ref,0.6817,0.7346,2.29
syn_0.05_0.5,0,dmon_ref,0.1131,0.0983,2.31
syn_0.05_0.5,1,dmon_ref,0.1175,0.1116,2.36
syn_0.05_0.5,2,dmon_ref,0.1658,0.1603,2.38
syn_0.95_0.0,0,dmon_ref,0.3752,0.3962,2.23
syn_0.95_0.0,1,dmon_ref,0.2745,0.2797,2.26
syn_0.95_0.0,2,dmon_ref,0.2491,0.2614,2.35
