dataset,method,seed,nmi,ari,seconds
cora,louvain,0,0.4447,0.2461,0.1
cora,leiden,0,0.465,0.2616,0.06
cora,kmeans,0,0.0715,0.0208,0.68
cora,dmon,0,0.3973,0.2984,4.15
cora,mincut,0,0.4119,0.2976,6.28
cora,dmon_noisex,0,0.0306,0.0172,4.1
cora,dmon_rewired,0,0.1029,0.0622,4.23
cora,louvain,1,0.4475,0.2308,0.08
cora,leiden,1,0.4638,0.2562,0.06
cora,kmeans,1,0.2031,0.1018,0.59
cora,dmon,1,0.3635,0.2677,4.43
cora,mincut,1,0.4506,0.3366,6.36
cora,dmon_noisex,1,0.0154,0.0067,4.12
cora,dmon_rewired,1,0.0888,0.0644,4.15
cora,louvain,2,0.4492,0.2173,0.08
cora,leiden,2,0.4681,0.2592,0.06
cora,kmeans,2,0.1631,0.0812,0.59
cora,dmon,2,0.3028,0.1835,4.3
cora,mincut,2,0.4362,0.333,6.31
cora,dmon_noisex,2,0.0205,0.0094,4.17
cora,dmon_rewired,2,0.0747,0.0377,4.18
citeseer,louvain,0,0.326,0.0913,0.14
citeseer,leiden,0,0.3274,0.0802,0.08
citeseer,kmeans,0,0.2245,0.2027,1.39
citeseer,dmon,0,0.2624,0.2202,7.6
citeseer,mincut,0,0.3089,0.2628,10.32
citeseer,dmon_noisex,0,0.0085,0.0044,6.67
citeseer,dmon_rewired,0,0.1015,0.0701,7.07
citeseer,louvain,1,0.3308,0.0978,0.1
citeseer,leiden,1,0.3279,0.0809,0.09
citeseer,kmeans,1,0.2894,0.2716,1.22
citeseer,dmon,1,0.2851,0.2396,6.97
citeseer,mincut,1,0.3208,0.2812,10.0
citeseer,dmon_noisex,1,0.0082,0.0047,6.72
citeseer,dmon_rewired,1,0.11,0.0817,6.65
citeseer,louvain,2,0.3285,0.084,0.09
citeseer,leiden,2,0.3293,0.0962,0.09
citeseer,kmeans,2,0.3069,0.2891,1.32
citeseer,dmon,2,0.2547,0.2171,6.67
citeseer,mincut,2,0.3338,0.2929,10.13
citeseer,dmon_noisex,2,0.0076,0.004,6.84
citeseer,dmon_rewired,2,0.0858,0.0629,6.74
photo,louvain,0,0.6636,0.5668,1.39
photo,leiden,0,0.6622,0.5684,0.39
photo,kmeans,0,0.2577,0.1449,0.79
photo,dmon,0,0.319,0.1961,24.86
photo,mincut,0,0.5068,0.3986,43.59
photo,dmon_noisex,0,0.0239,0.0113,24.12
photo,dmon_rewired,0,0.1772,0.1019,22.26
photo,louvain,1,0.6472,0.5435,1.12
photo,leiden,1,0.6564,0.5724,0.4
photo,kmeans,1,0.29,0.1391,0.95
photo,dmon,1,0.4006,0.2689,21.4
photo,mincut,1,0.4805,0.3843,44.83
photo,dmon_noisex,1,0.0154,0.0085,23.52
photo,dmon_rewired,1,0.1881,0.1263,25.4
photo,louvain,2,0.6598,0.5696,1.76
photo,leiden,2,0.6525,0.5609,0.43
photo,kmeans,2,0.2929,0.1753,0.83
photo,dmon,2,0.207,0.1327,21.63
photo,mincut,2,0.452,0.3485,45.62
photo,dmon_noisex,2,0.0189,0.008,25.19
photo,dmon_rewired,2,0.1618,0.1319,25.89
cora,dmonref_noisex,0,0.0795,0.045,5.74
cora,dmonref_rewired,0,0.0167,0.0084,5.74
cora,dmonref_noisex,1,0.0811,0.0507,5.68
cora,dmonref_rewired,1,0.0164,0.0088,5.64
cora,dmonref_noisex,2,0.1138,0.0765,5.66
cora,dmonref_rewired,2,0.0191,0.0078,5.71
citeseer,dmonref_noisex,0,0.0165,0.0107,8.89
citeseer,dmonref_rewired,0,0.0213,0.0167,8.85
citeseer,dmonref_noisex,1,0.0321,0.0272,8.71
citeseer,dmonref_rewired,1,0.0152,0.0109,8.79
citeseer,dmonref_noisex,2,0.0188,0.0118,8.78
citeseer,dmonref_rewired,2,0.0152,0.0125,8.83
photo,dmonref_noisex,0,0.3439,0.3011,23.14
photo,dmonref_rewired,0,0.024,0.0007,23.82
photo,dmonref_noisex,1,0.2911,0.2472,23.4
photo,dmonref_rewired,1,0.0385,0.02,23.7
photo,dmonref_noisex,2,0.3421,0.263,23.27
photo,dmonref_rewired,2,0.0193,0.0107,23.65
