exp,target,seed,config,nmi,ari,seconds
tune,0.05_0.0,0,lr:0.001|do:0.0|h:64,0.0029,-0.0004,2.53
depth,0.05_0.0,0,d2,0.0021,-0.0011,3.59
depth,0.05_0.0,0,d3,0.0044,0.0011,4.71
tune,0.05_0.0,0,lr:0.001|do:0.0|h:128,0.0044,0.001,3.19
mcdepth,0.05_0.0,0,mc_d2,0.0,0.0,6.05
tune,0.05_0.0,0,lr:0.001|do:0.5|h:128,0.0028,-0.0004,3.19
tune,0.05_0.0,0,lr:0.01|do:0.0|h:64,0.0013,-0.0018,2.53
mcdepth,0.05_0.0,0,mc_d3,0.0054,0.0018,8.23
tune,0.05_0.0,0,lr:0.01|do:0.5|h:64,0.0048,0.0015,2.78
tune,0.05_0.0,0,lr:0.01|do:0.0|h:128,0.0057,0.0022,3.19
tune,0.05_0.0,0,lr:0.01|do:0.5|h:128,0.0094,0.0057,3.2
depth,0.05_0.0,1,d2,0.0032,-0.0001,3.68
tune,0.05_0.0,1,lr:0.001|do:0.0|h:64,0.0036,0.0003,2.56
depth,0.05_0.0,1,d3,0.004,0.0007,5.14
tune,0.05_0.0,1,lr:0.001|do:0.0|h:128,0.003,-0.0002,3.27
mcdepth,0.05_0.0,1,mc_d2,0.0012,-0.0002,6.05
tune,0.05_0.0,1,lr:0.001|do:0.5|h:128,0.003,-0.0003,3.24
tune,0.05_0.0,1,lr:0.01|do:0.0|h:64,0.0021,-0.0011,2.74
tune,0.05_0.0,1,lr:0.01|do:0.5|h:64,0.0005,-0.0025,2.74
mcdepth,0.05_0.0,1,mc_d3,0.002,-0.0014,8.32
tune,0.05_0.0,1,lr:0.01|do:0.0|h:128,0.0027,-0.0006,3.22
tune,0.05_0.0,1,lr:0.01|do:0.5|h:128,0.0022,-0.001,3.24
depth,0.05_0.0,2,d2,0.0036,0.0002,3.9
tune,0.05_0.0,2,lr:0.001|do:0.0|h:64,0.0011,-0.002,2.52
depth,0.05_0.0,2,d3,0.0046,0.0013,5.19
mcdepth,0.05_0.0,2,mc_d2,0.0,0.0,5.97
tune,0.05_0.0,2,lr:0.001|do:0.0|h:128,0.0016,-0.0015,3.35
tune,0.05_0.0,2,lr:0.001|do:0.5|h:128,0.0019,-0.0012,3.21
