dataset,method,seed,nmi,ari,seconds
computers,louvain,0,0.5322,0.3275,5.23
computers,leiden,0,0.5288,0.2802,1.38
computers,kmeans,0,0.1676,-0.0096,2.43
computers,mincut,0,0.3884,0.2764,124.29
computers,dmon_ref,0,0.319,0.2497,65.32
computers,dmonref_noisex,0,0.3013,0.1703,65.61
computers,dmonref_rewired,0,0.0094,-0.0064,66.48
computers,louvain,1,0.5307,0.2984,5.66
computers,leiden,1,0.537,0.3007,1.3
computers,kmeans,1,0.1606,-0.0212,2.82
computers,mincut,1,0.4028,0.3445,124.99
computers,dmon_ref,1,0.3333,0.2566,65.21
computers,dmonref_noisex,1,0.2549,0.1321,64.73
computers,dmonref_rewired,1,0.0123,-0.0069,65.75
computers,louvain,2,0.5255,0.2837,7.22
computers,leiden,2,0.5038,0.2777,1.3
computers,kmeans,2,0.193,0.0176,2.78
computers,mincut,2,0.419,0.4006,120.21
computers,dmon_ref,2,0.3396,0.2716,64.44
computers,dmonref_noisex,2,0.2756,0.1468,64.37
computers,dmonref_rewired,2,0.0115,-0.0046,66.59
cs,louvain,0,0.5923,0.4409,3.72
cs,leiden,0,0.5992,0.4235,0.94
cs,kmeans,0,0.6605,0.4798,34.21
cs,mincut,0,0.7038,0.4751,189.41
cs,dmon_ref,0,0.7661,0.6608,113.27
cs,dmonref_noisex,0,0.2101,0.0994,113.47
cs,dmonref_rewired,0,0.3702,0.2092,113.34
cs,louvain,1,0.5803,0.4376,3.59
cs,leiden,1,0.5825,0.4093,0.94
cs,kmeans,1,0.6542,0.4833,33.81
cs,mincut,1,0.7448,0.5689,187.05
cs,dmon_ref,1,0.7666,0.6168,113.26
cs,dmonref_noisex,1,0.2033,0.1023,113.4
cs,dmonref_rewired,1,0.3132,0.2646,113.21
cs,louvain,2,0.5614,0.3963,3.8
cs,leiden,2,0.5912,0.4131,0.89
cs,kmeans,2,0.6676,0.4964,34.67
cs,mincut,2,0.7197,0.5308,186.06
cs,dmon_ref,2,0.7341,0.5733,113.46
cs,dmonref_noisex,2,0.1972,0.0991,113.82
cs,dmonref_rewired,2,0.37,0.2725,113.68
