structure,feature,seed,method,nmi,ari,seconds
0.05,0.0,0,louvain,0.0135,0.0025,0.11
0.05,0.0,0,leiden,0.0064,0.0011,0.06
0.05,0.0,0,kmeans,0.007,0.0033,0.04
0.05,0.0,0,dmon,0.0028,-0.0004,2.18
0.05,0.0,0,mincut,0.0,0.0,2.54
0.05,0.0,1,louvain,0.0109,0.0014,0.13
0.05,0.0,1,leiden,0.007,0.0014,0.07
0.05,0.0,1,kmeans,0.0012,-0.0019,0.03
0.05,0.0,1,dmon,0.0047,0.0014,2.14
0.05,0.0,1,mincut,0.0039,0.0002,2.5
0.05,0.0,2,louvain,0.0073,0.0001,0.17
0.05,0.0,2,leiden,0.0079,0.0011,0.07
0.05,0.0,2,kmeans,0.0029,-0.0003,0.03
0.05,0.0,2,dmon,0.0053,0.0019,2.12
0.05,0.0,2,mincut,0.0027,0.0,2.51
0.05,0.0,3,louvain,0.0091,0.0015,0.14
0.05,0.0,3,leiden,0.0097,0.0017,0.08
0.05,0.0,3,kmeans,0.0065,0.003,0.03
0.05,0.0,3,dmon,0.0024,-0.0009,2.12
0.05,0.0,3,mincut,0.0,0.0,2.46
0.05,0.0,4,louvain,0.0095,-0.0005,0.12
0.05,0.0,4,leiden,0.0102,0.0016,0.08
0.05,0.0,4,kmeans,0.0026,-0.0006,0.03
0.05,0.0,4,dmon,0.0022,-0.0009,2.13
0.05,0.0,4,mincut,0.0,0.0,2.64
0.05,0.2,0,louvain,0.0135,0.0025,0.12
0.05,0.2,0,leiden,0.0064,0.0011,0.07
0.05,0.2,0,kmeans,0.0909,0.0891,0.02
0.05,0.2,0,dmon,0.0287,0.0223,2.2
0.05,0.2,0,mincut,0.0,0.0,2.48
0.05,0.2,1,louvain,0.0109,0.0014,0.13
0.05,0.2,1,leiden,0.007,0.0014,0.07
0.05,0.2,1,kmeans,0.0734,0.0616,0.03
0.05,0.2,1,dmon,0.0261,0.0223,2.15
0.05,0.2,1,mincut,0.0,0.0,2.49
0.05,0.2,2,louvain,0.0073,0.0001,0.17
0.05,0.2,2,leiden,0.0079,0.0011,0.07
0.05,0.2,2,kmeans,0.05,0.048,0.03
0.05,0.2,2,dmon,0.0108,0.0072,2.12
0.05,0.2,2,mincut,0.002,0.0,2.47
0.05,0.2,3,louvain,0.0091,0.0015,0.14
0.05,0.2,3,leiden,0.0097,0.0017,0.08
0.05,0.2,3,kmeans,0.1119,0.1077,0.03
0.05,0.2,3,dmon,0.0823,0.0776,2.12
0.05,0.2,3,mincut,0.0,0.0,2.49
0.05,0.2,4,louvain,0.0095,-0.0005,0.12
0.05,0.2,4,leiden,0.0102,0.0016,0.08
0.05,0.2,4,kmeans,0.1309,0.13,0.03
0.05,0.2,4,dmon,0.0585,0.0544,2.13
0.05,0.2,4,mincut,0.0,0.0,2.6
0.05,0.35,0,louvain,0.0135,0.0025,0.11
0.05,0.35,0,leiden,0.0064,0.0011,0.07
0.05,0.35,0,kmeans,0.4238,0.4588,0.02
0.05,0.35,0,dmon,0.1026,0.0856,2.13
0.05,0.35,0,mincut,0.0,0.0,2.48
0.05,0.35,1,louvain,0.0109,0.0014,0.13
0.05,0.35,1,leiden,0.007,0.0014,0.07
0.05,0.35,1,kmeans,0.4793,0.5221,0.03
0.05,0.35,1,dmon,0.1781,0.1862,2.15
0.05,0.35,1,mincut,0.0,0.0,2.53
0.05,0.35,2,louvain,0.0073,0.0001,0.17
0.05,0.35,2,leiden,0.0079,0.0011,0.08
